data_coleta,Centro-oeste,Norte,Nordeste,Sul,Sudeste
2018-01-07,3.5671398963730603,3.6000000000000036,3.3397477313974595,3.2249460431654655,3.3626752475247383
2018-01-14,3.5858758465011356,3.622564102564104,3.3530912343470507,3.2375759162303637,3.3690078023406795
2018-01-21,3.587214765100674,3.62875778546713,3.392695495495493,3.2444063604240276,3.380961436170196
2018-01-28,3.586276744186051,3.6365164835164854,3.389891891891886,3.2498315789473664,3.3816192660550306
2018-02-04,3.5994688221709,3.644166666666666,3.403660211267599,3.2615632582322385,3.3885916775032383
2018-02-11,3.5904141876430233,3.6427335766423408,3.4086035714285683,3.2573116438356235,3.3841734828495897
2018-02-18,3.597284116331098,3.662862453531601,3.406806569343063,3.259699288256226,3.385391705069112
2018-02-25,3.5847061503416833,3.6490944055944072,3.407747779751332,3.2509964850615125,3.378301690507148
2018-03-04,3.5888928571428567,3.6511824817518277,3.410694642857141,3.2523074204947,3.3733114964675495
2018-03-11,3.580598623853211,3.6447370370370384,3.4086648648648645,3.24891296625222,3.3701738281249907
2018-03-18,3.5949137168141556,3.6438988764044966,3.410848648648646,3.250071803852888,3.373429336905553
2018-03-25,3.580687772925771,3.654231060606063,3.412796226415095,3.246019642857141,3.3682480769230643
2018-04-01,3.588521739130435,3.6559710144927564,3.4171767955801053,3.254136936936934,3.3825567494962954
2018-04-08,3.5859955056179764,3.6748191881918864,3.430740259740256,3.2535565529622956,3.3890573289902206
2018-04-15,3.6026734234234286,3.686610687022901,3.4423469387755077,3.2639762773722603,3.396680822826794
2018-04-22,3.616701986754968,3.693379061371845,3.4621249999999923,3.2888499095840826,3.40916730523626
2018-04-29,3.6396000000000033,3.7474153846153904,3.5073388581952103,3.3197958412098254,3.4617654402102405
2018-05-06,3.667133333333337,3.7591684981685023,3.527309833024114,3.3517427536231827,3.4881891361256487
2018-05-13,3.732552106430152,3.7868149466192196,3.597416826003824,3.4021016635859493,3.5412305630026757
2018-05-20,3.7950066815144723,3.8516816479400764,3.6342688766114137,3.4503626373626375,3.58258681462139
2018-05-27,3.9807155963302745,4.03607450980392,3.8071057692307644,3.6621117117117086,3.7636633597883598
2018-06-03,4.03038,4.052784615384615,3.8824428571428555,3.706209677419354,3.7914081632653054
2018-06-10,3.728894459102902,3.7168709677419383,3.5804648187633283,3.3352635658914696,3.4651424196018334
2018-06-17,3.664213942307694,3.674015384615385,3.524340725806452,3.300395752895751,3.4157620738636365
2018-06-24,3.613889671361504,3.676457364341083,3.457357707509879,3.267291296625224,3.3684956287827776
2018-07-01,3.5977061503416907,3.643620938628156,3.4622743190661405,3.255724077328646,3.3608067729083606
2018-07-08,3.593766292134832,3.63602564102564,3.440893145161289,3.256688172043013,3.3549377162629717
2018-07-15,3.590828375286044,3.6377204301075294,3.446021359223297,3.2535462794918337,3.3531071904127727
2018-07-22,3.5684268585131935,3.652350943396229,3.447052224371365,3.2519493006992977,3.3496870382807145
2018-07-29,3.5716232227488165,3.6394652777777807,3.4414403846153783,3.245655477031799,3.344545760430682
2018-08-05,3.558948780487807,3.6446752767527673,3.439976516634048,3.245396678966793,3.343553133514981
