Estação de origem,Estação de Destino,contagem_viagens,contagem_acumulada,
Brasil 21,Brasil 21,1296,1296,
ICC Sul,Centro Olímpico,640,1936,
Instituto de Artes,Centro Olímpico,623,2559,
Centro Olímpico,ICC Sul,587,3146,
Deck Sul,Deck Sul,475,3621,
Centro Olímpico,Instituto de Artes,458,4079,
Ministério da Saude,Rodoviária 2,387,4466,
EQN 408/409,Instituto de Artes,378,4844,
Instituto de Artes,EQN 408/409,369,5213,
CLN 406,Instituto de Artes,320,5533,
EQN 410/411,EQN 410/411,320,5853,
Instituto de Artes,CLN 406,277,6130,
Instituto de Artes,EQN 410/411,276,6406,
EQN 410/411,Instituto de Artes,275,6681,
Rodoviária 2,Ministério da Saude,270,6951,
CLN 406,EQN 408/409,269,7220,
EQN 408/409,CLN 406,266,7486,
CLN 406,EQN 410/411,264,7750,
EQN 410/411,CLN 406,264,8014,
Rodoviária,Ministério da Saude,236,8250,
